"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"9/17/2024","9/17/2024","9/17/2024","MCD","Cash Div: R/D 2024-09-03 P/D 2024-09-17 - 4.6 shares at 1.67","CDIV","","","$7.68"
"9/16/2024","9/16/2024","9/16/2024","GOOGL","Cash Div: R/D 2024-09-09 P/D 2024-09-16 - 10 shares at 0.2","CDIV","","","$2.00"
"9/16/2024","9/16/2024","9/17/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring","Buy","0.367867","$516.49","($190.00)"
"9/16/2024","9/16/2024","9/17/2024","","ACH Deposit","ACH","","","$190.00"
"9/12/2024","9/12/2024","9/12/2024","MSFT","Cash Div: R/D 2024-08-15 P/D 2024-09-12 - 4 shares at 0.75","CDIV","","","$3.00"
"9/12/2024","9/12/2024","9/12/2024","HD","Cash Div: R/D 2024-08-29 P/D 2024-09-12 - 2.8 shares at 2.25","CDIV","","","$6.30"
"9/12/2024","9/12/2024","9/13/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649
Recurring","Buy","0.977668","$194.34","($190.00)"
"9/12/2024","9/12/2024","9/13/2024","","ACH Deposit","ACH","","","$190.00"
"9/11/2024","9/11/2024","9/12/2024","LULU","Lululemon
CUSIP: 550021109
Recurring","Buy","0.119085","$251.92","($30.00)"
"9/11/2024","9/11/2024","9/12/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.5","$497.12","($248.56)"
"9/10/2024","9/10/2024","9/11/2024","SMH","VanEck Semiconductor ETF
CUSIP: 92189F676","Buy","0.2","$217.96","($43.59)"
"9/10/2024","9/10/2024","9/11/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.5","$501.69","($250.85)"
"9/9/2024","9/9/2024","9/10/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring","Buy","0.378094","$502.52","($190.00)"
"9/9/2024","9/9/2024","9/10/2024","","ACH Deposit","ACH","","","$190.00"
"9/9/2024","9/9/2024","9/10/2024","SMH","VanEck Semiconductor ETF
CUSIP: 92189F676","Buy","0.2","$216.65","($43.33)"
"9/6/2024","9/6/2024","9/6/2024","TLT","Cash Div: R/D 2024-09-03 P/D 2024-09-06 - 8.998668 shares at 0.312782","CDIV","","","$2.81"
"9/6/2024","9/6/2024","9/9/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649","Buy","1","$184.74","($184.74)"
"9/6/2024","9/6/2024","9/9/2024","SMH","VanEck Semiconductor ETF
CUSIP: 92189F676","Buy","0.1","$214.05","($21.41)"
"9/6/2024","9/6/2024","9/9/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363","Buy","0.3","$496.85","($149.06)"
"9/6/2024","9/6/2024","9/6/2024","","Instant bank transfer - account ending in 6638","RTP","","","$1,200.00"
"9/6/2024","9/6/2024","9/9/2024","SMH","VanEck Semiconductor ETF
CUSIP: 92189F676","Buy","0.1","$218.43","($21.84)"
"9/5/2024","9/5/2024","9/6/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649
Recurring","Buy","1.005344","$188.99","($190.00)"
"9/5/2024","9/5/2024","9/6/2024","","ACH Deposit","ACH","","","$190.00"
"9/4/2024","9/4/2024","9/5/2024","LULU","Lululemon
CUSIP: 550021109
Recurring","Buy","0.11721","$255.95","($30.00)"
"9/3/2024","9/3/2024","9/4/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring","Buy","0.372475","$510.10","($190.00)"
"9/3/2024","9/3/2024","9/4/2024","","ACH Deposit","ACH","","","$190.00"
"8/29/2024","8/29/2024","8/30/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649
Recurring","Buy","0.969734","$195.93","($190.00)"
"8/29/2024","8/29/2024","8/30/2024","","ACH Deposit","ACH","","","$190.00"
"8/28/2024","8/28/2024","8/29/2024","LULU","Lululemon
CUSIP: 550021109
Recurring","Buy","0.116058","$258.49","($30.00)"
"8/26/2024","8/26/2024","8/27/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring","Buy","0.368731","$515.28","($190.00)"
"8/26/2024","8/26/2024","8/27/2024","","ACH Deposit","ACH","","","$190.00"
"8/22/2024","8/22/2024","8/23/2024","QQQM","Invesco Exchange-Traded Fund Trust II Invesco NASDAQ 100 ETF
CUSIP: 46138G649
Recurring","Buy","0.965987","$196.69","($190.00)"
"8/22/2024","8/22/2024","8/23/2024","","ACH Deposit","ACH","","","$190.00"
"8/21/2024","8/21/2024","8/22/2024","LULU","Lululemon
CUSIP: 550021109
Recurring","Buy","0.112338","$267.05","($30.00)"
"8/19/2024","8/19/2024","8/20/2024","VOO","Vanguard S&P 500 ETF
CUSIP: 922908363
Recurring","Buy","0.371006","$512.12","($190.00)"
"8/19/2024","8/19/2024","8/20/2024","","ACH Deposit","ACH","","","$190.00"
